2025-12-16 11:02:27 | ERROR | evento=created | archivo=C:\Users\EdsonLazo\Comercial y Servicios Cruz del Sur\Gestion - Documentos\Seguros\Pólizas\backup_viejo\manual_analista_tesoreria_detallado.pdf | detalle=Error SMTP: [Errno 11001] getaddrinfo failed
2025-12-16 11:02:28 | ERROR | evento=modified | archivo=C:\Users\EdsonLazo\Comercial y Servicios Cruz del Sur\Gestion - Documentos\Seguros\Pólizas\backup_viejo\manual_analista_tesoreria_detallado.pdf | detalle=Error SMTP: [Errno 11001] getaddrinfo failed
2025-12-16 11:03:31 | ERROR | evento=modified | archivo=C:\Users\EdsonLazo\Comercial y Servicios Cruz del Sur\Gestion - Documentos\Seguros\Pólizas\Certificado 2 de Cobertura 2025-2026.pdf | detalle=Error SMTP: [Errno 11001] getaddrinfo failed
2025-12-16 11:03:51 | ERROR | evento=modified | archivo=C:\Users\EdsonLazo\Comercial y Servicios Cruz del Sur\Gestion - Documentos\Seguros\Pólizas\Certificado 2 de Cobertura 2025-2026 anexo.pdf | detalle=Error SMTP: [Errno 11001] getaddrinfo failed
2025-12-16 11:11:32 | OK | evento=created | archivo=C:\Users\EdsonLazo\Comercial y Servicios Cruz del Sur\Gestion - Documentos\Seguros\Pólizas\backup_viejo\manual_analista_tesoreria_detallado - copia.pdf | detalle=Correo enviado
2025-12-16 11:11:39 | OK | evento=modified | archivo=C:\Users\EdsonLazo\Comercial y Servicios Cruz del Sur\Gestion - Documentos\Seguros\Pólizas\backup_viejo\manual_analista_tesoreria_detallado - copia.pdf | detalle=Correo enviado
2025-12-17 08:35:52 | OK | evento=modified | archivo=C:\Users\EdsonLazo\Comercial y Servicios Cruz del Sur\Gestion - Documentos\Seguros\Pólizas\Torina\Poliza Torina 2025-2026.pdf | detalle=Correo enviado
2025-12-17 08:35:58 | OK | evento=created | archivo=C:\Users\EdsonLazo\Comercial y Servicios Cruz del Sur\Gestion - Documentos\Seguros\Pólizas\Torina\Poliza Torina 2025-2026 - copia.pdf | detalle=Correo enviado
2025-12-17 08:36:03 | OK | evento=modified | archivo=C:\Users\EdsonLazo\Comercial y Servicios Cruz del Sur\Gestion - Documentos\Seguros\Pólizas\Torina\Poliza Torina 2025-2026 - copia.pdf | detalle=Correo enviado
2025-12-17 11:40:13 | OK | evento=created | archivo=C:\Users\EdsonLazo\Comercial y Servicios Cruz del Sur\Gestion - Documentos\Seguros\Pólizas\Asam\Prueba_eliminar - copia.pdf | detalle=Correo enviado
2025-12-17 11:40:19 | OK | evento=modified | archivo=C:\Users\EdsonLazo\Comercial y Servicios Cruz del Sur\Gestion - Documentos\Seguros\Pólizas\Asam\Prueba_eliminar - copia.pdf | detalle=Correo enviado
